id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,funny,comedy
6945217278715776261,69.0,23,0,6746417382892176389,1,38,16600000,640800000,689,2054,6945217025203522310,1,21,21,236300,324,1400000,1006,4,1,1,0,0,0,0
6936992469011729670,142.0,19,6,6909299300250829830,0,29,11400,42500,66,305,6867621840609609730,0,30,25,32300,2906,1100000,131,11,0,0,0,0,0,0
6941811472192392453,148.0,18,5,6932561587354502146,0,4323,137000,2400000,243,782,6832618984580335617,0,60,54,844200,2016,3100000,5982,14,1,1,1,1,0,0
6934023951039401221,125.0,19,5,6776020666518717445,0,88,1400000,53000000,328,3122,6777274113254754306,0,85,39,76700,386,432800,326,5,1,0,1,0,0,0
6945584222685940998,30.0,22,1,6825496082355061766,0,1,5200000,215200000,606,260,6945584019883002629,1,28,28,1800000,28300,4000000,11300,0,0,0,0,0,0,0
6939288922635767045,74.0,23,5,6646764999833403398,1,115,13200000,794400000,3299,445,6939288835779988230,1,24,24,285900,2334,1700000,655,0,0,0,0,0,0,0
6939988874831744261,83.0,21,0,6742170228920566790,0,15,1000000,25800000,400,272,6864645279707040518,1,52,19,13300,42,282000,161,7,0,0,0,1,0,0
6938404233494547718,73.0,14,3,6700343527676740613,1,24,7000000,85800000,366,228,6779299611543603201,0,60,15,67400,574,866300,345,3,0,0,0,0,0,0
6945321385044610310,73.0,5,1,6924835726371718149,0,159,474700,8200000,318,663,6786903243604625409,0,30,10,166700,849,2100000,8686,2,0,0,0,0,0,0
6938429563248659718,65.0,16,3,6833102852434363398,0,1,3100000,40300000,216,1139,6938429514364013317,1,58,59,495400,2233,2600000,1981,6,0,0,0,0,0,0
6942273686950972677,54.0,0,0,6813770706456101893,0,7,34400,3100000,16,859,6942273477751737094,1,59,59,2100000,170900,12300000,0,5,1,1,1,0,0,0
6938606168319282437,0.0,3,4,2824102,0,116,462700,12200000,187,509,6938606033933748997,1,9,9,344600,45100,2800000,4314,0,0,0,0,0,0,0
6938221048827563270,125.0,2,3,6727036756422263813,0,213,540200,3300000,306,221,6938220945135979270,1,14,14,33200,85,1100000,167,7,0,0,0,0,0,0
6946006318306315525,66.0,2,3,11051177,0,403,2500000,51200000,438,17000,6883295796351993858,0,60,21,107600,298,463200,238,1,0,0,0,0,0,0
6941711984018623749,58.0,12,5,6746076584510751749,0,5858,485500,4400000,319,15000,6916480198753946374,1,11,9,13600,783,75000,1260,6,1,1,0,0,0,0
6945926503108545798,113.0,21,2,6806777679287698437,0,508,6100000,149900000,574,17200,6945575939220818694,1,13,13,63600,637,358900,734,8,1,1,1,0,0,0
6941943857026174213,12.0,3,6,6930447212364694533,0,1,35700,4100000,77,2159,6927845642823813894,1,14,8,669300,24300,1800000,21000,2,1,1,0,0,0,0
6943995945558297861,70.0,16,4,6864187892576699397,0,3,49000,1100000,199,2281,6943995797801421573,1,28,28,864000,17400,4600000,5482,6,1,0,1,0,0,0
6941197061912022278,131.0,3,4,6635471359203393541,0,615,2300000,28900000,723,15000,224241750477963264,0,30,15,33100,8308,1100000,880,6,1,0,0,0,0,0
6935978661363387654,14.0,1,4,73399573133619200,0,104,18100,558700,91,13600,6890289142786263814,1,52,16,98800,1492,973800,857,2,0,0,0,0,0,0
6943766432727436550,93.0,1,4,6943761979236779013,0,39,57100,994900,5,626,6816299717027285766,1,20,12,718800,22600,1800000,9608,6,1,1,1,0,0,0
6940716213584661766,59.0,20,2,6934530233999803398,0,1,105500,2200000,25,28,6940716278793456390,1,23,23,9930,26,208800,183,7,1,0,1,1,0,0
6928507463499042054,58.0,22,4,6673278784836617222,0,7,173000,4400000,342,88,6928507613156051718,1,35,35,17700,18,131700,44,3,1,0,0,0,0,0
6936003399515196677,45.0,3,4,6926043900273148934,0,34,2200000,17900000,370,58,6568640177223240450,0,23,20,12900,452,231200,30,4,0,0,0,0,0,0
6936189924165111045,76.0,15,4,6774136081119675397,1,21,490000,6200000,309,241,6936189847883238150,1,10,11,38600,956,1000000,703,2,0,0,0,0,0,0
6944707223742467333,44.0,14,6,6900645767926006789,0,307,60600,2400000,106,2178,6819482363358153478,1,40,13,136300,21500,1300000,1437,2,0,0,0,0,0,0
6918503196075822342,126.0,23,5,6789332769837433861,0,523,207900,2100000,172,4048,6826096341966456833,0,60,11,261800,2272,2200000,2077,11,0,0,0,0,0,0
6933236619101113606,18.0,16,3,6687698950461424646,1,60,8600000,157200000,506,420,6925658290315593729,0,60,41,806400,9793,6200000,10700,3,0,0,0,0,0,0
6936276139006610694,103.0,20,4,14565663,1,786,9200000,333400000,2131,4612,6936276094630841094,1,47,47,333500,323,1800000,1840,2,0,0,0,0,0,0
6942902757120609541,36.0,17,1,225396694010728448,1,29,13400000,146100000,329,82,6942902593031113478,1,19,19,163300,411,992300,778,3,1,0,0,0,0,0
6945834731158211845,142.0,15,2,6841719273115780102,0,70,1600000,70000000,684,2236,6945834619610598149,1,59,59,55800,41,269700,395,8,1,0,0,0,0,0
6929502634923592965,103.0,14,0,6645259825818255365,0,67,838300,15100000,429,2969,6865075738370902017,0,60,59,17400,95,131400,138,7,1,0,0,0,0,0
6941593695615601926,28.0,4,5,6772785524966704134,0,1,293000,2700000,150,14200,6932369970047224581,1,26,10,101500,549,712800,433,3,1,0,1,0,0,0
6928934988712856837,146.0,2,6,6647257997427294213,0,160,211300,1100000,43,5475,6928935068874345221,1,59,59,328400,6903,2500000,8978,7,0,0,0,0,0,0
6938430896051801350,24.0,16,3,6869134027043931142,0,866,40500,3000000,61,19300,6781097175662200834,0,60,18,7375,93,198400,162,2,0,0,0,0,0,0
6941809315321826566,16.0,18,5,6775033566016963589,1,2298,26500000,1600000000,1358,31600,6933059279859534598,1,9,9,856700,1769,4900000,5285,0,0,0,0,0,0,0
6942138132804472069,79.0,16,6,6746076584510751749,0,5858,485500,4400000,319,15000,6916480198753946374,1,11,9,119100,4631,1100000,3494,5,1,0,0,0,0,0
6940695352412572934,121.0,18,2,6674007832575198214,0,53,181200,3200000,163,20300,6940690918492211974,1,12,12,325400,19600,1900000,6052,6,1,1,0,1,0,0
6941547306097462533,148.0,1,5,6892058341805179910,0,144,9832,746900,108,62300,6647277225529838341,0,15,9,501100,19700,1500000,25700,9,1,0,0,1,0,0
6942283809807224070,58.0,1,0,6741591536436511749,0,2216,4900000,214600000,371,1610,6942283525538253574,1,14,14,547700,20400,4300000,2217,4,1,1,0,0,0,1
6939672077850955014,69.0,0,0,6771423213199459333,0,167,10400,69600,47,12900,250835551346647040,0,29,30,67900,11300,1200000,2130,4,1,0,0,0,0,0
6939003098660687110,63.0,5,5,6603423061034500101,0,9677,308600,2200000,232,12300,6768619586217708293,1,15,13,1200000,82000,5800000,34400,8,0,0,0,0,0,0
6938853233863544070,86.0,19,4,6716859375102870533,0,438,8800000,202800000,636,1740,6831843160709138433,0,60,59,309800,2089,2200000,1847,3,0,0,0,0,0,0
6946225540877651206,90.0,16,3,6663294979903422470,1,213,14500000,904000000,2939,1206,6927705966418856709,1,23,10,113100,302,825300,1141,1,0,0,0,0,0,0
6943389116885257478,49.0,0,3,6894988799559336966,0,21,560900,17000000,119,667,6818900034868742146,0,60,33,157800,2865,3500000,4188,3,0,1,0,0,0,0
6938580459186162949,28.0,1,4,6934908786604835845,0,8,139800,1200000,163,15,6763798772506953730,0,60,36,2550,8,255100,5,4,1,1,0,0,0,0
6936153269832142085,83.0,12,4,6880775881523741701,0,3,4300000,53900000,338,411,6936153156606888710,1,5,5,20800,88,439100,91,6,1,1,0,0,0,0
6944771400209124614,55.0,18,6,6724508015746155525,0,243,292400,10400000,1994,9704,6944771290460883717,1,19,19,663200,4777,4000000,1862,3,0,0,0,0,0,0
6943384903404883206,90.0,0,3,6727336722373460997,1,71,534300,6200000,279,150,6921346519002041093,1,43,30,88400,4324,711500,3638,5,0,0,0,0,0,0
6946238647511338245,129.0,17,3,6798272962791277574,1,57,155900,2200000,28,516,6769046027488987137,0,112,36,29300,156,185400,170,7,0,0,0,0,0,0
6941511869261679878,34.0,23,4,6737377840259417094,1,54,433100,3900000,172,74,6883116938199370498,1,37,16,294400,7625,2400000,4771,1,0,0,0,0,0,0
6938938714588531974,9.0,1,5,6801382986136781829,0,177,201100,8700000,137,14700,6876131097164450566,0,9,6,233600,2546,1000000,2725,0,0,0,0,0,0,0
6938498176663981318,6.0,20,3,173309912721186816,0,123,2900000,99900000,1442,4679,6938498116505193222,1,24,24,436600,26900,2200000,4548,1,0,0,0,0,0,0
6945901407883054341,149.0,19,2,6658428971933368325,1,299,2200000,91700000,392,25900,6945901308616493829,1,29,29,460400,328,3000000,613,11,0,0,0,0,0,0
6938126657857293573,43.0,20,2,6587535917023182853,1,96,17800000,381700000,210,588,6938126611745082118,1,43,44,3200000,23700,21600000,11400,0,0,0,0,0,0,0
6939008497057041670,42.0,5,5,6716962133261534214,1,451,22800000,680000000,1229,2524,6939008291787770629,1,18,18,119500,474,897300,1425,1,0,0,0,0,0,0
6937778812574895366,96.0,22,1,6755493853888201734,1,719,4700000,167500000,620,23100,6937778743343680262,1,30,30,1200000,1875,8500000,3628,4,0,0,0,0,0,0
6939139463746440453,24.0,14,5,6845588578073953285,0,48,1200000,21300000,798,1535,6939139524031154949,1,18,18,3000000,5824,29800000,15100,3,1,0,0,0,0,0
6944856219957873926,57.0,23,6,68611723951267840,0,3997,45600,790200,322,16200,6944856025333795590,1,21,21,491900,3207,2100000,6607,3,0,0,0,0,0,0
6933798899240946949,139.0,4,5,6793143387639088133,0,423,148400,3400000,148,12300,6933798824095795974,1,59,59,5954,48,162500,86,5,1,0,1,0,0,0
6941064608161565958,83.0,18,3,6717467078759236614,0,46,720100,7400000,243,2335,6941064470932605702,1,26,26,33900,4577,863000,1125,3,0,0,0,0,0,0
6943375422436429061,144.0,0,3,6610559847967014917,0,209,971700,33300000,648,645,6860124742922324742,1,40,16,464200,4811,2000000,9953,9,1,1,1,0,0,0
6936646860534729989,97.0,20,5,6626440478298587141,0,35,2400000,36300000,375,232,6936646817115294469,1,22,22,12800,91,223500,114,5,0,0,0,0,0,0
6944064144282848517,126.0,20,4,6807860051488572421,0,64,1000000,8000000,297,3191,6944064037240064773,1,7,8,12200,143,367500,68,6,1,0,0,0,0,0
6943425321555332357,66.0,3,3,6919630201328714758,0,6,12700,102700,8,294,6896143888814213122,0,225,47,94500,11600,1200000,629,5,1,0,1,1,1,0
6935250581715963141,149.0,2,2,6897875779238069253,0,127,365400,7500000,82,2678,6781550750406413062,1,59,39,8485,31,113000,62,13,0,0,0,0,0,0
6929304345141955846,132.0,2,0,6718536094827086854,0,59,1200000,20200000,195,170,6787142896177924097,0,60,58,55300,953,355000,343,3,1,0,1,0,0,0
6942450000249097478,129.0,12,0,6699204223647187973,0,12,272800,4500000,658,6424,6942449662204955397,1,18,18,30300,1615,118900,524,5,0,0,0,0,0,0
6944525057175637254,148.0,2,6,6943685522796020741,0,287,32700,597100,10,103,6944524822634433286,1,55,56,373200,3883,2600000,3336,7,1,0,1,0,0,0
6944853193343962373,68.0,23,6,6532031977783033858,0,493,16200,76600,32,2702,6832618984580335617,0,60,56,6809,1823,114000,231,6,1,1,1,0,0,0
6936563410058398982,129.0,15,5,6880325805907854342,0,108,1900000,37500000,292,2055,6936563343503461125,1,59,59,17200,83,215000,163,9,1,0,0,0,0,0
6943813808607563014,136.0,4,4,6765682487253255174,1,27,45200,343500,27,9,6819512583393904641,0,60,22,103100,32800,2400000,4245,8,0,0,0,0,0,0
6944348497650994437,41.0,14,5,6546416767488704513,0,883,70500,3900000,1976,16800,6944348318457776902,1,6,6,11200,3036,670600,269,5,1,0,0,0,0,0
6945817202167696646,110.0,13,2,277631369541844992,1,18,2300000,70500000,446,468,6777318368832653313,0,135,45,290900,624,2000000,2031,5,0,0,0,0,0,0
6933687861501775110,71.0,21,4,6776322919171245062,0,99,64600,525800,29,4884,6933687825557048069,1,25,25,207800,29100,1500000,1449,5,1,0,0,0,0,0
6921039351812066565,41.0,19,5,6800510927398913030,1,279,1800000,35400000,520,15500,6904328489374075653,0,16,15,31200,502,284400,430,3,0,0,0,0,0,0
6942012963599535365,143.0,7,6,6940127479822697478,0,95,973,9884,63,205,6934763697206315781,1,9,6,2260,17,182000,9,3,1,0,0,0,0,0
6942465522336337158,148.0,13,0,6794877401559483398,0,64,69700,424600,37,3687,6942465251052899078,1,57,58,275300,35900,1800000,4857,17,0,0,0,0,0,0
6940328153919393030,23.0,18,1,6770548975554905094,0,714,632800,22500000,1323,1897,6810474569867053830,1,54,54,898900,4488,5300000,19800,0,0,0,0,0,0,0
6945269865984937221,86.0,2,1,6620599461239406597,0,4389,4600000,62600000,559,11700,6944942513442556677,0,49,45,605600,22100,5600000,4797,4,0,0,0,0,0,0
6935202173185789189,48.0,23,1,211104285189705728,0,115,349200,6400000,194,103300,6845338635454171909,1,16,16,71800,1010,1000000,1715,3,0,0,0,0,0,0
6935548077419826437,59.0,21,2,6798608364106204165,1,694,8800000,409400000,722,54300,6935548084550191877,1,42,43,4800000,9624,47100000,12000,3,0,0,0,0,0,0
6946223106310589701,132.0,16,3,6820748594041439237,0,768,154400,3100000,182,7392,6809902652340570113,0,60,12,41400,42,483200,249,13,1,0,0,0,0,0
