id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,popular,fyp,foryou,foryoupage,viral,fypシ,funny,xyzbca,comedy,duet,tiktok,fy,parati
6.94E+18,45,21,4,6.82E+18,1,2,1200000,18200000,265,226,6.84E+18,0,45,9,1500000,50300,14000000,9602,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,103,0,0,6.88E+18,0,31,115400,2200000,78,1105,6.94E+18,1,49,47,1800000,1908,16200000,3582,5,1,1,0,0,0,0,0,1,0,0,0,0,0
6.94E+18,71,11,5,6.72E+18,1,570,27500000,520100000,786,16700,6.68E+18,0,18,15,3500000,7407,56400000,27400,3,1,1,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,45,17,3,1.43E+17,1,268,21500000,173000000,353,2548,6.90E+18,1,58,13,3000000,49600,12800000,39500,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,0,0,1,7239462,1,937,14700000,357900000,1617,30000,6.70E+18,0,60,15,754100,1804,4800000,2750,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,92,1,5,20717295,0,215,145200,4600000,94,1349,6.92E+18,1,59,13,4300000,351800,37200000,31400,7,1,1,1,1,0,0,0,0,0,0,0,0,0
6.94E+18,52,12,1,6.90E+18,0,30,406400,4400000,193,981,6.94E+18,1,15,15,564000,5135,8700000,14800,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,117,21,2,6.78E+18,0,147,533400,10600000,9,119,6.88E+18,0,30,18,8800000,49400,74500000,75500,12,1,1,1,0,0,0,0,0,0,0,0,0,0
6.94E+18,128,2,6,6.71E+18,0,1967,31300,815700,360,5376,6.76E+18,0,60,47,466600,427,6200000,371,5,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,96,1,5,6.90E+18,0,43,120100,2400000,60,673,6.94E+18,1,59,59,2300000,48100,9000000,17000,6,1,0,1,0,0,0,0,0,0,0,0,0,0
